Event Name,Event Description,Date and Time,Venue,Organization,Category,Number,Author,Keywords
ESL One Cologne 2020,"ESL One Cologne is a great tournament called The Cathedral of Counter-Strike. For several times the competition in Cologne has been considered a major’s tier. Historical moments of CS:GO have happened in Germany, such as: olofmeister’s in-fire defuse, s1mple’s double AWP noscope, friberg and Banana and Fnatic’s four AWPs.Cologne is a real historical town for CS:GO. The tournament in 2020 is not a major, but should also be fantastic and memorable. Sixteen teams at the Lanxess-Arena will consider who will take what part of the $1,000,000 and of course, the Champions Trophy of Cologne.",7am 07/12/2020,"Cologne, Germany",ESL,Gaming,,VIshvesh,
Silicon Valley IoT & Blockchain Hackathon,"Organizations that use or are thinking of using blockchain technology often consider utilizing smart contracts to automate the processing of business transactions across the network.
Of course, to work properly in this context, these bits of logic may depend on trusted data from outside sources, including IoT. Do you have a good enterprise use case that could benefit from blockchain and the use of smart contracts?
Have some ideas on how to bring IoT into the solution while addressing problems such as trust and scale? Want to try the technology and have some fun in the process? Then this hackathon is for you!
Deploy a blockchain, build/deploy some smart contracts, create the right interfaces and integrations, and perhaps even come up with that next new business model!","June 16,2021 10:00 AM",Online,TIBCO LABS,Information & technology,,VIshvesh,
Accenture Blockchain Hackathon,"From traceable supply chains to permanent identity for refugees, blockchain is pioneering transparent and secure business processes. Blockchain technology provides new infrastructure to build the next innovative applications beyond cryptocurrencies, driving profound, positive changes across business, communities and society.We are at an exciting phase in the evolution of Blockchain-based solutions, as we move from prototyping to pilots and production. This is especially true of Accenture, regarded as one of the top 10 biggest Blockchain companies. Accenture’s Blockchain developers work at the heart of the Blockchain technology landscape, working with multiple alliance partners - DAH, Ripple, R3, Microsoft, EEA, Hyperledger etc.
Accenture’s involved in a variety of “Blockchain for Good” programs including their involvement with the global ID2020 alliance of governments, NGOs and private sector committed to solving the challenge of the 1.1 billion people living without an identity. Read up on Accenture’s work in Blockchain.

","Jul 06, 2021, 01:00 AM",Online,Accenture,Information & technology,,VIshvesh,
Celebrating India's Fest,"Celebrating India’s Finest is an evening enjoying the very best of Indian wines as chosen by consumers. The wines showcased are winners of the prestigious Indian Wine Consumers Choice Awards. Taste, learn or network with fellow wine enthusiasts and also enjoy our selection of fine cheese and hor d’oeuvres","5 May 2021, 7am-5pm","Lower Parel, Mumbai",Insider,Food And Beverages,,VIshvesh,
ComicCon 2021,"Comic Con India (CCI) is a series of annual comic-based conventions held in India. The first edition was held in New Delhi in 2011 and over the years has expanded to other major cities in India such as Mumbai, Bangalore, Pune, Hyderabad and Ahmadabad. There are annual comic cons now in all these cities. Cumulatively these five cities attract over 200,000 visitors with over 1200 exhibitors. Jatin Varma, the founder & managing director of Comic Con India, launched the first comic con in India in Delhi in 2011. Since 2014, Comic Con India has been conducted in collaboration with Reed Exhibitions (ReedPOP), the organisers of the New York Comic Con and the MCM London Comic Con.","1-10th May 2021,7am-6pm",BKC,,Arts and exhibitions,,VIshvesh,
Web development Workshop,"Anybody and everybody is welcome. If you know nothing about code or markup and want to get started in web development then this will be good for you. This will also serve as a useful primer for those who know HTML and CSS and want to jump into JavaScript / programming-in-general, or even just as a primer for node.js. This course will not discuss databases in the interest of keeping the focus on coding. We're keeping this workshop safe for entry-level developers, so if you're already familiar with most or all of the topics then this workshop is not for you. Just come with an open mind and a desire to learn. No coding or markup background required at all. ","3rd March,2021",Online,FrontEnd Masters,Information & technology,,VIshvesh,
Free Introduction to Web Development Workshop,"Brian Holt and the Frontend Masters team are putting on a free workshop today and tomorrow that is live-streamed for anyone that’s interested. This is super cool because, despite the fact that there is a mountain of articles about web development out there, there are only few that start with the basics in a manner that’s easy for beginners to follow","3rd March,2021",Online,CSS Tricks,Information & technology,,VIshvesh,
"How to become a
web developer","Web development is a thriving industry where you can build a steady income and work from anywhere building websites for clients all over the world.Whether you are looking for a career change, or want to build yourself a side-hustle this workshop will show you step-by-step how to become a web developer.
This workshop is going to cover everything that I wish I had known when I first started out -- a road map of sorts that is going to show you exactly what you need to learn, how to learn it, what a career as a web developer looks like and more.",15 January 2021,Online,The Institute of Code,Information & technology,,VIshvesh,
Miniature Origami for Beginners - An Online Workshop,"Artkhoj presents the “Miniature Origami Workshop” which explores the Japanese art form of paper folding. The workshop is meant for both beginners and intermediate participants, creating motivation & breaking the inhibition of paper folding.In this interactive and engaging workshop, the participants will learn
Basics of Origami and Knowledge of miniature folding - Its possibilities, challenges, and limitations and Tricks and tips of usage of various tools in miniature folding and 3-4 miniature origami animals and birds. The number of models learnt will be based on the speed of understanding. The main focus will be on the process so that participants can do it on their own post the workshop",June 7 | 5PM,Online,Artkhoj ,Arts and exhibitions,,VIshvesh,
Valorant Champions Tour 2021 Structure,"The professional Valorant esports scene is about to get a lot more structured. Today, developer Riot Games announced its plans for competitive Valorant in 2021, and it includes a new global tournament series that will see teams play in regional competitions before making their way up to play the best in the world. Riot calls it the Valorant Champions Tour.
While no specific competitions or dates have been announced yet, the competition is divided into three tiers. There are regional “challengers” events, and the best teams from these will move on to three different “masters” competitions, which will serve as the qualifying round for the final global championship event where 16 teams will compete. Riot says tournaments will take place in North America, South America, Europe, Asia, Africa, and Australia.",December 3rd–8th,Online,Esports,Gaming,,VIshvesh,
INDIAN UGC VALORANT SEASON 2,"We have organized valorant tournament with a entry fee of Rs200/- INR . Join our discord to complete registration, remember you will be eligible only after you pay registration fees [Registration fees to be paid to ayush#0009 discord id via paytm , google pay. DM for more]. Once you pay fees you are eligible for discord verification","January 8, 2021 - January 12, 2021",Onine,UGC,Gaming,,VIshvesh,
Ethical Hacking Workshop,"Ethical Hacking Workshop mainly focuses on the students eager to be a White Hat Hacker. It features a brief introduction to the world of hacking starting with the importance of ethical hackers and their need in today's world scenario, including to the basics of networking that will help you have a deep understanding of the working of internet.Later, windows hacking using various methods will be introduced and in the module of steganography you will learn how to hide files in other files in order to protect sensitive data. After the end of the aforementioned module you will be learning phishing in which you will be taught How to hack Facebook Accounts and Gmail Accounts and thus how to avoid it.In the end you will gain knowledge about the basics of Backtrack 5 and the concept of man in the middle attack (MITM ATTACK).The duration of this workshop will be two consecutive days with eight hours session each day, in a total of sixteen hours properly divided into theory and hand on practical sessions. At the end of this workshop a competition will be organized among the participating students where each participating student will get Certificate of Participation and the Winners will get Certificate of Merit. We also provide Distance Learning in Ethical Hacking.

",10th February 2021,Online,Rabosapiens,Information & technology,,VIshvesh,
Origami Workshop,"Here is an outline for a state-of-the-art origami workshop. If you wish to host your own, you are very welcome to include your inputs and comments in your workshop request, to make this course more interesting and suitable for your needs.First off, we talk a little about paper, why we should reduce paper consumption, etc.
Next, we talk about the history of origami
Then, here are some of the things that we can create during the workshop (not everything is possible in one session):
Paper hearts that can be used as holiday decoration or book marks.
Traditional cranes, which is a symbol of hoping and wishing, and that can be used as decoration too.
Tulips and leaves, the symbol of spring, that can be used as faux flower decoration.
Small cute animals, such as rabbits, butterflies, birds, crabs, fishes, foxes, etc. They can be used as decoration, or toys and gifts for children.
We  introduce the origami folding with papers that are going to be recycled to give them a second purpose. We can fold some of the following things with them:
Useful things such as trash bin bags, open boxes or boxes with lids to store small objects.
Flower pots for sprouting seeds
If there are going to be a lot of people, then we can also make a big project (modular origami), for example:
Big flower balls or flower wreaths
Hexahedron wall decoration","2nd February,2021",Onine,Furoshiki,Arts and exhibitions,,VIshvesh,
"Sukhdev Rathod, Devi Seetharam, Ketaki Sarpotdar","The surface of Seetharam's paintings is porous and matt, concrete-like, whereas the treatment of the white fabric of the traditional garment, the mundu, takes on an appearance of chiselled marble. The dark Dravidian skin of the men stands in stark contrast. Seetharam draws upon a broad range of cultural experiences and considerations within her work. Before moving to Australia in 2016 she grew up living in China, Taiwan, Cambodia, South Africa, Singapore, Mauritius and the UAE — among other countries. These changes in physical location shaped the development of her work as she absorbed and reflected upon social constructs in multiple communities.Sarpotdar's dark, dramatic etchings and drypoints are fine-lined and richly contoured. These are master prints that are resonant with the artist’s interest in human behaviour. Exquisitely nuanced with shadow and light, they have the power to evoke our imagination. If they possess a medieval quality, it is because they are often populated by characters culled from literature or folklore.Ketaki Sarpotdar received a Diploma in Fine Art at the L.S. Raheja School, Mumbai in 2014 and a Post Diploma in Visual Art (Printmaking) at the M.S. University, Baroda in 2018. She was awarded the Jeram Patel Award for best display in the Graphic Art Department at the University, 2018, and her work has been shown at Latitude 28 Gallery, New Delhi (2020); the Lalit Kala Akademi’s 1st Print Biennale, New Delhi (2018); and the Birla Academy of Art and Culture, Kolkata (2016).","4th february,2021",Mumbai,Ocula,Arts and exhibitions,,VIshvesh,
"Aban Raza
Luggage, People and a little space","Among the many things encountered in Aban Raza's paintings and prints, there are axioms for this fragile moment in history. Much like the seams of the titular luggage, an implosion is imminent; objects of daily life strewn on tables and shelves signal a tender rootedness, as if waiting to be packed and moved elsewhere. The air is potent, nestled precariously between entangled limbs on buses and in quiet shafts of light; the air is heavy between the eyes of women and the walls of their homes; the air is limp as decay encroaches on wilting flowers—red roses to be precise, a symbol as much as an idea for the close of an era in modern Indian history.","4th february,2021",Mumbai,Ocula,Arts and exhibitions,,VIshvesh,
Black Beyond Sight,"At first glance, black may seem to cast a unifying cloak over the three bodies of works—Ahmed’s etchings on carbon paper, Shemza’s early India ink-on-muslin-on-paper works, and Thacker’s sooty sculptural scenes. Yet the three take an ‘achromatic’ approach to black, unmooring it from its either/ or relationship with light. In their hands, black is haptic: it is an accomplice to an experience that reaches beyond sight, channelling something more visceral—sonic, tactile, kinetic—than visual. The medium—ink, soot, carbon—is not simply the indexical means by which black is conveyed to a surface, but is itself wound up in the movement inherent to this achromatic black-as-activity.When Ahmed pricks the skin of carbon paper with her compass, she penetrates black as generative: her process enlists the site of blackness (rather than the mere medium of the paper) as a source, a background hum to her syncopated mark-marking. Thacker literally sets contours of her pieces ablaze, the camphor flames leaving in their wake an unpredictable black born of the elemental. Shemza’s inked abstractions and hatching-rhythmed still-lifes reinstate black to its rightful ‘thing- ness’: commuted through the tendrils of open-weave muslin, blackness emerges as freely sinuous, bristling with the dynamism that morphs into frame, fish scales, or billow.","4th february,2021",Thane,Oculius,Arts and exhibitions,,VIshvesh,
Bagh,"Mukherjee's etchings and bronze sculptures are presented together for the first time in a dialogue that probes the divide between figuration and abstraction in the artist's work. Unlike her work in fibre and clay, the bronzes never assumed a figural aspect, likely because of the unexpected transmogrifications in the process of their making. Mukherjee's etchings are also far from realistic, with a naïvete and charm that refers back to folk art, children's books, and the work of her contemporaries, for instance Bhupen Khakhar.","4th february,2021",Delhi,ZaveriDas Baatliwala,Arts and exhibitions,,VIshvesh,
Tomorrow's Land,"Vinod's oil-on-canvas paintings stem as much from intuition as from cultural circumstance. With remarkable skill, he paints powerful, lush and emotive landscapes. It is impossible to miss the absurdity embedded within these panoramas—nude figures playing football or jogging, saints playing jazz, winged figures listening to a band. Add to that, an abundance of minutely detailed motifs—airplanes made of chicken coups, advertising billboards, a statue of Mother Mary atop a tower, cowsheds with worshippers, a whale, an image of Lord Krishna.Vinod's heightened sense of colour underscores the freedom and feeling of euphoria in these paintings. Not hesitating to cite religion as an inspiration, nor shying away from critiquing the ideology of faith, Vinod Balak's Tomorrow's Land explores a collective contemporary subconscious, through a poetic register","10th february,2021",Nagpur,ZaveriDas Baatliwala,Arts and exhibitions,,VIshvesh,
A River Inside,"In A River Inside, Parekh uses liquid and its shimmering movements as metaphors for apprehending experience and describing desire. The sensuousness of water, its tendency to yield, and its forceful ability to overcome, serve to highlight acts of creation and living. Parekh's distillation of shared ideas into visual form is not a search for universals but takes personal and peculiar trajectories that are attentive to the formal balance between intricacy and restraint.This engagement with duality, and the throbbing ambiguous fissure between, much like the line or the river, is at this exhibition's core.","10th february,2021",Pune,Bhimji Gheewala,Arts and exhibitions,,VIshvesh,
New Figurations,"A preoccupation with people, more than their painterly aesthetic, starts an intriguing conversation between Matthew Krishanu and Sosa Joseph. Beyond their shared affinity for broad brushstrokes, translucent layers of colour and washed out hues is their inquisitive nature. With something of an anthropologist's eye, both Krishanu and Joseph createa visual ethnography, capturing habitual routines and profiling their subjects. But where a classical anthropologist would value distanced observation, these artists make emotions their mainstay.","10th february,2021",Ahemdabad,Bhimji Gheewala,Arts and exhibitions,,VIshvesh,
FRENETIC,"To view P.R. Satheesh's large-scale, often multi-panel paintings, is to be overwhelmed by the unbridled currents of his pigment and his heightened sense of colour. There is a fluidity and spontaneity in his application of throbbing blue-greys, acid yellows and luminous greens, the percussions of thick vermilion and chalky pink. His layered compositions suggest the play of light filtering through forest canopy and undergrowth. This is no coincidence. Satheesh's spice-farming family had moved from the plains, to the mountains in Munnar. He spent his childhood in a border zone between farm and forest, where one's life might depend on the accurate reading of signs indicating changing seasons, sudden shifts in weather, or the incursion of predators.","10th february,2021",Kota,Bhimji Gheewala,Arts and exhibitions,,VIshvesh,
Solo Exhibition,"The state of standing still is just an illusion. We can think that a work of art occupies a fixed position on a wall or pedestal, but these surfaces, like everything else on Earth, are on a daily orbital journey around the sun. Rana Begum's work reveals the subtle movements of our planet as they draw our attention to the way that natural light (also a moving entity)impacts our perception of colour. To understand the work of Rana Begum is to become more acutely aware of our movement through the world, and the world's movement in the universe.",December 3rd–8th,Kolkata,Chagandas Chatriwala,Arts and exhibitions,,VIshvesh,
Aggregate,"In this new exhibition precisely titled Aggregate, Benitha Perciyal collects and gathers several elements belonging to her own world and formal repertoire: objets trouvés sometimes 'slightly' assembled in a personal Wunderkammer; two very singular human bust-figures built out of a rough and subtle mix of wood and vegetal essences and powders, looking like they are meditating in the middle of a portable library, made with re-used Burma teak; and a more recent body of work, comprising four very large bowls built out of dry banana leaves or papier maché and covered with an extremely sensitive and ethereal surface of translucent, feather-like seeds.",December 3rd–8th,Kochi,Chagandas Chatriwala,Arts and exhibitions,,VIshvesh,
at home in the universe,"This exhibition brings together the work of two artists, Mahirwan Mamtani and Harminder Judge. Separated by generations and geographies, they are united in a declared interest in Tantra, and upon first encounter their work might also appear to share aesthetic qualities. Yet further looking and learning reveals definite differences. Mamtani's work remains closely visually aligned to the schematics of Mandalas; Judge's work is more open with swathes of unadorned space, it is less directive. The works are about what we have in common with the universe, as well as who we are as individuals and how we find our place in it, our home.",December 3rd–8th,Manipal,Kartik Konje,Arts and exhibitions,,VIshvesh,
Santiniketan,"Somnath Hore's drawings, watercolours and prints shed detail. Whether his figures are seated, lying down or doubled over, there is an indelible mark of pain. Hore was well past fifty when for the first time he began to make sculpture. Made in cast metal, this was the final medium he worked in. He passed away in 2006 in Santiniketan.","4th february,2021",Kanyakumari,Kartik Konje,Arts and exhibitions,,VIshvesh,
Canthon 5 km Virtual Marathon,Run is to Promote Fitness and Help Poor Cancer Patients.You can do 1 KM for 5 days or 2.5 KM for 2 days or 5 KM in one go as per your convenience.Once your Challenge is done your Medal is sent by Courier.,December 3rd–8th,Mumbai,Kartik Konje,"Wellness , health and fitness ",,VIshvesh,
Konkan Beach Marathon 2021 VR,"Konkan Beach Marathon is run entirely on the untamed beaches of a small town called Nagaon, in Raigad district ,during low tide. The beach is covered with flat sand. It is a firm flat surface at low tide. We start running before the sunrise and mid route we will be greeted by the morning sun. It is ok to run barefoot. Entire running route is on the beach. At the finish everyone enjoys cool down on the sea shore, along with post run festivities , including DJ party , and cool down stretching sessions by our instructors.","10th february,2021","Karpewadi, Nagoan",Shubham Phansekar Recreations,"Wellness , health and fitness ",,VIshvesh,
Mumbai Half Marathon - Bandra Fort,"Due to Covid Situation only 350 Runners can Participate.icket prices are slightly high due to restrictions on number of Participants.
Run will be on scenic Bandstand Carter Road Route.All Timed Run Participants will get Timed Bib, Medal, T-Shirt, Banana, Water, Breakfast and e-Certificate.
Experience an amazing run along coastal line of Bandra. Running along the sea will provide Runners a perfect Natural Ambience.",31-Jan-2021,Bandra Fort,Shubham Phansekar Recreations,"Wellness , health and fitness ",,VIshvesh,
Hiranandani Thane Half Marathon (HTHM),"The Hiranandani Thane Half Marathon (HTHM) annual event allows him to explore his multi-dimensional personality, helping create better individuals that in turn create better communities.",14-Feb-2021,Thane,Hiranandani Op,"Wellness , health and fitness ",,VIshvesh,
ASD Market Week,"""The Leading International Trade Show for Consumer Merchandise""
45,000 buyers from over 90 countries visit ASD Market Week each year. From department stores to convenience stores, general stores to gift shops, from grocery store distributors to fashion boutiques, this is the trade show where any buyer can find unique merchandise that will set their store merchandise apart. Buyers are able to make the merchandise they buy at ASD go farther because of the impressive margins obtained only from the thousands of vendors and exhibitors found only on our show floor. Whatâ€™s more, ASD Market Week is also home to the SourceDirect trade show, a B2B show for importers, distributors, wholesalers, and large retailers to buy wholesale goods directly from select overseas manufacturers. Why travel the globe when we bring the suppliers to you?",28 - 31 Jul 2019,Mumbai,Emerald,arts and exhibitions,,VIshvesh,
Interior Lifestyle India presented by Ambiente India,"The premier trade fair for Homeware & Interior Décor targeting business visitors across India.Interior Lifestyle India presented by Ambiente India will present a wide range of products for the consumer market in India in the segments of Dining, Giving and Living. This is the place to find the latest products and innovations in the homeware, kitchenware, appliances and decor articles for the next buying season. Being a major player in the high-volume sector, ILI by Ambiente India is a significant platform for the consumer goods industry offering a wide spectrum of merchandise from handmade items to industrially manufactured products.",10:00 AM - 5:00 PM Mar 13,Pune,Messe Frankfurt Trade Fairs India Pvt. Ltd.,arts and exhibitions,,VIshvesh,
Indian Handicrafts & Gifts Fair - Spring,"Indian Handicraft & Gifts Fair is an international event for handicrafts and arts. The show includes the ethnic culture of various folk tribes all across the globe and creates souvenirs for tourists and visitors. The trade fair promotes educational seminars and shows to educate visitors about various tribes and their customs. The gifts and handicrafts fair along with home furnishing will help the exhibitors to set trends, generate orders, create new business opportunities and ensure success.
",13 - 17 Mar 2021,Greater Noida,Export Promotion Council For Handicrafts,arts and exhibitions,,VIshvesh,
International Jewellery,"IJT is Japan's largest and international jewellery trade show. A wide variety of products in the jewellery industry gathers under one roof in the world trend-setting city, Tokyo. Every year it is visited by numerous representatives from retailers, from department stores and jewelers who want to get a comprehensive overview of the offering on the market.",20 - 23 Jan 2020,Delhi,Reed Exhibitions Japan Limited,arts and exhibitions,,VIshvesh,
India Art Festival,"INDIA ART FESTIVAL, a contemporary Art Fair, is the biggest art fair hosted annually at three metro cities, Bengaluru, New Delhi and Mumbai!l IAF aims to provide a cultural bridge between Indian artists, art galleries, art collectors and connoisseurs, with an objective to create a dialogue that would introduce a fresh perspective and buoyancy among passion investors and art collectors. The artworks including paintings, sculptures, drawings, installations, photographs and editions as well as video and digital art by over 1000 artists represented by various galleries are displayed at India Art Festival annually. IAF aims to democratise the process of art viewing and buying by bringing it from the confines of unapproachable art spaces.",09 - 12 Jan 2020,Mumbai,India Art Festival,arts and exhibitions,,VIshvesh,
Paperworld India,"The largest global trade fair brand in its category Paperworld now forays in India to bring the industry stake holders on a common platform to develop business opportunities, connect with right buyers and showcase trend-setting innovative products that will rule the Indian stationery & write industry markets.",11 - 13 Mar 2021,Mumbai,Messe Frankfurt Trade Fairs India Pvt. Ltd.,arts and exhibitions,,VIshvesh,
The Mayfair Antiques & Fine Art Fair,"The Virtual Mayfair Antiques & Fine Art Fair aims to present a varied selection of high quality art and antiques, giving visitors the opportunity to browse and acquire the finest period furniture, traditional and contemporary sculpture, oil paintings and watercolours, antique and modernist jewellery, ceramics, glass, lighting, clocks, vintage watches, Tunbridge ware, 20th-century design pieces and many other decorative and rare objects spanning the centuries.",07 - 10 Jan 2021,Chandigarh,The Antiques Dealers Fair Limited,arts and exhibitions,,VIshvesh,
India Quilt Festival,India Quilt Festival will feature Quilts made by professional and hobbyist quilters. Special exhibits from the world over will be showcased to inspire and motivate. There will be Workshops and Lectures conducted by experts and leading international faculty. And something for everyone at the Vendor booths and stalls at the exhibition venue.,23 - 25 Jan 2021,Chennai,Quilt India Foundation,arts and exhibitions,,VIshvesh,
International Conference on Medical and Health Science,"The idea of the conference is for the scientists, scholars, medical and healthcare professionals, students from the Universities all around the world and the industry to present ongoing research activities, and hence to foster research relations between the Universities and the industry. This conference provides opportunities for the delegates to exchange new ideas and application experiences face to face, to establish business or research relations and to find global partners for future collaboration.",11 - 13 Jan 2021,Vadodra,Exces Group,"Wellness , health and fitness ",,VIshvesh,
HealthAsia,"HealthAsia - Singapore is an event promoting the healthcare industries. The aim of the event is Excellence in Healthcare, we strive to achieve this through safe, market-leading products and knowledgeable sales and customer service staff. This event shows a product from Medical & Pharmaceutical industry.",01 - 03 Mar 2021,Goa,Lines Exposition & Management Services Limited,"Wellness , health and fitness ",,VIshvesh,
India International Beauty Fair,"India International Beauty Fair is a major showcase of beauty products, wellness and fitness trends, beauty services, packaging and labeling solutions. This event encompasses cosmetics, all the products and, services for hair, skin, body and eye care, Soaps and detergents in all forms, Aerosols/ Dispensers, Wigs & hair pieces, Combs & brushes, Detox & slimming, all the essential oils, perfumes, incense sticks, flavours and fragrances, wellness centers, pools, spas, potpourri sachet of perfumed flowers. Perfumed candles and other related products used in spas, Naturopathy, aromatherapy, anti-aging products, whitening products, Beauty products for men & women Medical Beauty treatment, Slimming products, Health related services, Wedding accessories, packaging & wrapping material, etc. It would serve as an ideal platform for all stakeholders - Manufacturer, Wholesaler, Retailer, Exporter, cosmetologist of this industry to showcase their products.",21 - 23 Feb 2021,Mumbai,BRANDSUN Promotion,"Wellness , health and fitness ",,VIshvesh,
ISPO,"ISPO is an industry gathering and a B2B platform open only to trade visitors from the sporting goods industry. The event is dominated by Manufacturers & Producers of Adventure sports, Indoor sports, Medicine & nutrition, Outdoor sports, Sports equipments & accessories, Sportswear & accessories, Antiques, Automotive & accessories, Beauty services & accessories, Comics, Electronics & technologies, Models and handicrafts, Toys & games, Recreation, Country clubs, Entertainment park, Golf clubs, Gym & fitness club etc.",01 - 05 Feb 2021,Chattisgarh,Messe Munchen Gmbh,"Wellness , health and fitness ",,VIshvesh,
Halal World Food,"Halal World Food is a show within a show concept trade event. The event aims at flourishing the food and beverage industries by capitalising Halal sector, which is currently witnessing a huge success and growth in different parts of the world. The event features a wide variety of halal foods and products to a wide range of exhibitors and businesses.",21 - 25 Feb 2021 ,Ajmer,Dubai World Trade Centre ,"Wellness , health and fitness ",,VIshvesh,
Face & Body Spa ,"Spa professionals gather at Face & Body for practical business solutions, trend information and the latest offerings and insights from leading industry suppliers.The advanced education segments strives to provide the highest-quality education in the industry, which skin care professionals can immediately implement into their businesses.",28 Feb - 01 Mar 2021,Haryana,Skin Inc. magazine,"Wellness , health and fitness ",,VIshvesh,
HMP WorldWide,"Emerging markets are increasingly becoming the source of growth in the complex global economy. Hospital, Medical & Pharma Worldwide will be the first major exhibition in Calangute and which will provide an immense opportunity to healthcare, medical and pharma businesses to expand and find the new business possibilities in this fastest growing Southeast Asian country. With over hundred exhibiting booth and five thousand plus unique visitors this exhibition becomes a must attend and participate exhibition for visitors and companies respectively.",07 - 09 Jan 2021,Goa,Forumfare,"Wellness , health and fitness ",,VIshvesh,
Understanding Emotional Intelligence,"Understanding Emotional Intelligence is an opportunity to learn how to outline the characteristics of emotions and their importance in human social behavior, list the five major domains of emotional intelligence, explain the effects of emotional intelligence and social intelligence on love, happiness, and work, describe strategies to improve self-awareness, self-management, social awareness, and relationship skills, explain how emotional intelligence impacts mental disorders, chronic illness, provider-patient relationships, and stress management, etc.",07 Jan 2021,Mumbai,Institute for Natural Resources,"Wellness , health and fitness ",,VIshvesh,
Healthy Body & Soul Festival,"Healthy Body & Soul Festival- chennai30th August. Join us this intimate and boutique event connecting you with the finest selection of exhibitors, psychics, and therapists. Relax, explore, be inspired and pampered at the Healthy Body and Soul Festival. Relax, explore, be inspired and pampered at the Healthy Body and Soul Festival. Secure your ticket online today!",10 Jan 2021,Chennai,Wishful Events,"Wellness , health and fitness ",,VIshvesh,
BEASA INTERNATIONAL BEAUTY SALON TRADE SHOW,"International Beauty Salon Trade Show is not just a major showcase of beauty & Salon products, but also the showcase of beauty and wellness trends, beauty services, packaging and labeling solutions. This event encompasses cosmetics, Wigs & Hair Pieces, Combs & Brushes, Services for Hair, Skin, Body and Eye Care, Soaps and Detergents in all Forms, All the Essen al Oils, Perfumes, Incense Sticks, Flavors and Fragrances, Wellness Centers, Pools, Spas, Potpourri Sachet of Perfumed Flowers. Perfumed candles and other related products used in spas, Aromatherapy, Whitening Products, Beauty products for men & women, Medical Beauty Treatment, Wedding accessories, packaging & wrapping material, Ribbons, etc. It would serve as an ideal platform for all Manufacturer, Wholesaler, Retailer, Exporter, Cosmetologist, Dermatologist of this industry to showcase their products and interact with each other, find new markets, enhance sales cycle, increase market share and help in monitoring competitors.",18 - 19 Jan 2021,Ahmedabad,Brahmani Events & Exhibitions Pvt.Ltd,"Wellness , health and fitness ",,VIshvesh,
Health & Fitness Expo,"The Health & Fitness Expo features the latest in running technologies, fitness apparel, health & nutrition information and interactive displays. The Health and Fitness Expo prior to the race, which all participants must visit in order to pick up their race packets.",15 - 16 Jan 2021 ,Telangana,Competitor Group Inc,"Wellness , health and fitness ",,VIshvesh,
Ethio Health Exhibition & Congress,"Ethio Health is the premier, largest and comprehensive healthcare, medical, pharmaceutical and wellness technology, inputs and solutions international trade fair in Jalgaon. The event has proved to be the major platform that fuel the sector development through trade facilitation, market linkages, introduction of new technology and transfer of knowledge for concerned stakeholders across the whole value chain.",15 - 16 Jan 2021 ,Jalgoan,Prana Events,"Wellness , health and fitness ",,VIshvesh,
One-Day Advanced Training for Microsoft Excel,"One-Day Advanced Training for Microsoft Excel will teach you the most advanced features and functions Excel offers - taking your level of proficiency from mid-level to advanced. After a few hours of training, you'll be amazed at how this powerful program can work for you.",05 Jan 2021,Mumbai,SkillPath,Information & technology,,VIshvesh,
FLOOR - Solution for your Virtual events ,"A recent survey showed that over 75% of event professionals are planning a virtual or hybrid event in 2020. But a large percentage highlighted some big concerns: A. Lack of experience with virtual B. Concerned about costs C. Risk of failure and low attendance D. Confused about technology. Do you have similar concerns? Are you looking for something that is easy to use, cost-effective, and comes with support? Come join me for a webinar.",15 - 16 Jan 2021 ,Bhopal,Ten Times Online Private Limited.,Information & technology,,VIshvesh,
International Model United Nations Conference, International Model United Nations Conference plays in empowering younger generations with leadership and diplomatic skills especially through our annual International Model United Nations conference and the GIMUN Educational Exchange Programme.,05 - 07 Jan 2021,Coimbatoore,UN,Information & technology,,VIshvesh,
International Strategic Leadership Conference,"GoldenCRI, the center for research and innovation, is located in the United States of America (USA). The Center provides the best avenue for research and unrivaled platform for leadership training and development of sustainable competitive strategies. We offer participants and presenters opportunities to grow their businesses or academic career through carefully selected strategic topics and a mixture of management presentations. GoldenCRI has been providing exemplary services with the highest degree of honesty, integrity, and ethical behaviors. We are the publishers of the American Journal of Strategic Leadership (AJSL).",17 - 19 Jan 2021,Online,"GoldenCRI, the center for research and innovation",Information & technology,,VIshvesh,
Understanding Emotional Intelligence,"Understanding Emotional Intelligence is an opportunity to learn how to outline the characteristics of emotions and their importance in human social behavior, list the five major domains of emotional intelligence, explain the effects of emotional intelligence and social intelligence on love, happiness, and work, describe strategies to improve self-awareness, self-management, social awareness, and relationship skills, explain how emotional intelligence impacts mental disorders, chronic illness, provider-patient relationships, and stress management,",07 Jan 2021,Online,Institute for Natural Resources ,Information & technology,,VIshvesh,
Cyber Security Training,"designed to provide you with the knowledge of comprehensive approaches to protect your infrastructure from unauthorized attacks. In this course, you will learn various ways to secure data and information, architecting cloud-based security, running risk analysis, and mitigation. The course enables you to learn about the latest cybersecurity technologies to detect vulnerabilities of a system, protect against malware attacks, and manage confidential information. After completion of cybersecurity training, you become eligible for Cybersecurity certification.",12 Dec 2020 - 11 Jan 2021,Online,Mindmajix Technologies Inc.,Information & technology,,VIshvesh,
